"denuncia_fecha","denuncia_previa","derivacion_seguimiento","llamante_anonimo","llamante_es_victima","llamante_genero","llamante_rango_etario","llamante_provincia","victima_identificada_genero","victima_identificada_rango_etario","victima_identificada_discapacidad","victima_identificada_embarazada","victima_identificada_provincia_origen","victima_identificada_nacionalidad","denunciado_genero","denunciado_rango_etario","denunciado_provincia","connivencia_fuerzas_seguridad","connivencia_poder_politico","victimas_estimadas_cantidad","victimas_estimadas_genero","victimas_estimadas_rango_etario","victimas_estimadas_provincia_hecho","denuncia_tipo_explotacion","denuncia_via_ingreso","acercamiento_tipo","derivacion_organismo","derivacion_fecha","llamante_provincia_id","victima_identificada_provincia_origen_id","denunciado_provincia_id","victimas_estimadas_provincia_hecho_id"
"2019-11-02","Ampliatoria","No","Sí","Víctima Directa","Femenino","NS/NC","Buenos Aires","NS/NC","NS/NC","No","No","Buenos Aires","NS/NC","Masculino","50","Buenos Aires","No","No","NS/NC","Femenino","NS/NC","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-02","06","06","06","06"
"2019-11-02","Ampliatoria","no","No","Víctima Directa","Femenino","31","Buenos Aires","Femenino","26","No","No","Buenos Aires","Otros Países","Masculino","33","Buenos Aires","No","No","3","Femenino","17","Buenos Aires","Explotación Sexual","Línea 145","ONG-Organismos nacionales","Area Legal del PNR (ya judicializada)","2019-11-03","06","06","06","06"
"2019-11-03","Nueva","No","No","No es Víctima","Masculino","NS/NC","Buenos Aires","Femenino","12","No","No","Buenos Aires","NS/NC","Masculino","NS/NC","NS/NC","No","No","1","Femenino","12","Buenos Aires","Grooming","Línea 149","NS/NC","Protex ","2019-11-03","06","06","","06"
"2019-11-03","Nueva","No","Sí","Víctima Directa","Masculino","NS/NC","Buenos Aires","Presencia de M y H","14","No","No","NS/NC","Países Limítrofes","Masculino","NS/NC","NS/NC","No","No","18","Presencia de M y H","14","Buenos Aires","Explotación Laboral","Línea 145","NS/NC","Gendarmería y Protex","2019-11-03","06","","","06"
"2019-11-03","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Entre Ríos","Femenino","13","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","Sí","no","6","Femenino","13","Entre Ríos","Explotación Sexual","Línea 145","NS/NC","Gendarmería y Protex","2019-11-03","30","","","30"
"2019-11-04","Nueva","No","No","No es Víctima","Femenino","43","Buenos Aires","Masculino","16","No","No","Buenos Aires","Argentina","NS/NC","NS/NC","NS/NC","No","No","1","Masculino","16","Buenos Aires","Desaparición de personas","Línea 145","NS/NC","Protex ","2019-11-04","06","06","","06"
"2019-11-04","Nueva","No","Sí","Víctima Directa","Femenino","NS/NC","Córdoba","Femenino","NS/NC","no","no","NS/NC","Argentina","Presencia de M y H","NS/NC","Córdoba","no","No","5","Femenino","NS/NC","Córdoba","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-04","14","","14","14"
"2019-11-04","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Córdoba","Femenino","18","No","No","NS/NC","NS/NC","Femenino","40","Córdoba","No","No","5","Femenino","18","Córdoba","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-04","14","","14","14"
"2019-11-05","Nueva","No","Sí","Víctima Indirecta","Masculino","NS/NC","Mendoza","Femenino","21","No","No","Mendoza","Argentina","Femenino","27","Mendoza","No","No","40","Femenino","21","NS/NC","Explotación Sexual","Línea 145","Internet","Protex ","2019-11-05","50","50","50",""
"2019-11-05","Nueva","No","No","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","NS/NC","No","No","Buenos Aires","Países Limítrofes","NS/NC","NS/NC","NS/NC","No","No","NS/NC","Femenino","31","NS/NC","Desaparición de personas","Línea 145","ONG-Organismos nacionales","Protex ","2019-11-06","06","06","",""
"2019-11-06","Nueva","No","No","No es Víctima","Femenino","NS/NC","Mendoza","Femenino","24","No","No","Mendoza","Argentina","Masculino","19","NS/NC","No","No","NS/NC","Femenino","24","Mendoza","Posible captación","Línea 145","Internet","Protex ","2019-11-06","50","50","","50"
"2019-11-06","Nueva","No","Sí","Víctima Directa","Masculino","NS/NC","CABA","Femenino","18","No","No","CABA","Argentina","Femenino","NS/NC","CABA","No","No","4","Masculino","NS/NC","CABA","Explotación Sexual","Línea 145","NS/NC","Area Legal para judicializar","2019-11-06","02","02","02","02"
"2019-11-06","Ampliatoria","No","No","No es Víctima","FEMENINO","NS/NC","Jujuy","Masculino","NS/nc","NO","NO","JUJUY","Argentina","Femenino","NS/NC","NS/NC","NO","NO","1","Masculino","NS/NC","JUJUY","Explotación Laboral","Línea telefónica institucional","NS/NC","Protex ","2019-11-06","38","38","","38"
"2019-11-07","Nueva","No","No","Víctima Indirecta","Femenino","NS/NC","Buenos Aires","Femenino","14","No","No","Buenos Aires","Argentina","Masculino","22","Buenos Aires","No","No","1","Femenino","14","Buenos Aires","Desaparición de personas","Línea 145","Boca en Boca","Protex ","2019-11-07","06","06","06","06"
"2019-11-07","Ampliatoria","No","No","No es Víctima","Masculino","NS/NC","Mendoza","Femenino","24","No","No","Mendoza","Argentina","Masculino","19","NS/NC","No","No","1","Femenino","19","NS/NC","Posible captación","Línea telefónica institucional","Internet","Protex ","2019-11-07","50","50","",""
"2019-11-07","Nueva","No","Sí","Víctima Directa","Femenino","NS/NC","Córdoba","Femenino","NS/nc","NO","NO","Córdoba","Argentina","Trans","NS/NC","Córdoba","No","No","NS/NC","Femenino","NS/NC","Córdoba","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-07","14","14","14","14"
"2019-11-07","Nueva","No","No","No es Víctima","Femenino","NS/NC","Buenos Aires","Presencia de M y H","1","NO","NO","Buenos Aires","Argentina","Presencia de M y H","NS/NC","Buenos Aires","no","no","13","Presencia de M y H","1","Buenos Aires","Explotación Laboral","Línea 145","ONG-Organismos nacionales","Gendarmería y Protex","2019-11-07","06","06","06","06"
"2019-11-07","Nueva","No","Sí","Víctima Directa","Femenino","NS/NC","Chubut","Femenino","NS/NC","No","No","Chubut","Argentina","Presencia de M y H","NS/NC","Chubut","No","No","NS/NC","Femenino","NS/NC","Chubut","Explotación Sexual","Línea 145","NS/NC","Gendarmería y Protex","2019-11-07","26","26","26","26"
"2019-11-07","Nueva","No","No","No es Víctima","Masculino","NS/NC","Santa Cruz","Masculino","52","No","No","Santa Cruz","Argentina","Femenino","NS/NC","Santa Cruz","No","No","1","Masculino","52","Santa Cruz","Explotación Laboral","Línea 145","ONG-Organismos nacionales","Gendarmería y Protex","2019-11-07","78","78","78","78"
"2019-11-07","Ampliatoria","No","Sí","No es Víctima","Masculino","NS/NC","CABA","Femenino","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","4","Femenino","18","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Area Legal para judicializar","2019-11-07","02","","","06"
"2019-11-07","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","CABA","Femenino","11","No","No","CABA","NS/NC","Presencia de M y H","50","CABA","No","No","2","Femenino","11","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Policía Federal y Area Legal del PNR","2019-11-07","02","02","02","06"
"2019-11-07","Ampliatoria","No","No","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","27","no","no","Buenos Aires","Países Limítrofes","NS/NC","NS/NC","NS/NC","No","No","1","Femenino","27","Buenos Aires","Desaparición de personas","Línea 145","NS/NC","Protex ","2019-11-07","06","06","","06"
"2019-11-07","Nueva","No","No","No es Víctima","Masculino","38","caba","Femenino","12","No","No","caba","NS/NC","NS/NC","NS/NC","NS/NC","No","No","1","Femenino","12","caba","Explotación Sexual","Línea 145","Internet","Area Legal para judicializar","2019-11-07","02","02","","02"
"2019-11-08","Relacionada","No","Sí","No es Víctima","Masculino","NS/NC","CABA","Femenino","NS/NC","No","No","NS/NC","Países Limítrofes","Femenino","NS/NC","NS/NC","No","No","8","Femenino","NS/NC","CABA","Explotación Sexual","Línea 145","NS/NC","Area Legal del PNR (ya judicializada)","2019-11-08","02","","","02"
"2019-11-08","Relacionada","No","Sí","No es Víctima","Masculino","NS/NC","CABA","Femenino","NS/NC","No","No","NS/NC","Otros Países","Femenino","70","NS/NC","No","No","12","Femenino","NS/NC","CABA","Explotación Sexual","Línea 145","NS/NC","Area Legal del PNR (ya judicializada)","2019-11-08","02","","","02"
"2019-11-08","Ampliatoria","NO","No","No es Víctima","Masculino","NS/NC","Mendoza","Femenino","24","No","No","Mendoza","Argentina","Masculino","19","NS/NC","No","No","1","Femenino","19","NS/NC","Posible captación","Correo Electrónico","Internet","Protex ","2019-11-08","50","50","",""
"2019-11-08","Nueva","No","No","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","16","No","No","Buenos Aires","NS/NC","Masculino","NS/NC","Buenos Aires","Sí","Sí","1","Femenino","16","Buenos Aires","Posible captación","Línea 145","NS/NC","Protex ","2019-11-09","06","06","06","06"
"2019-11-09","Ampliatoria","NO","No","No es Víctima","Masculino","NS/NC","Mendoza","Femenino","24","No","No","Mendoza","Argentina","Masculino","19","NS/NC","No","No","1","Femenino","19","NS/NC","Posible captación","Correo Electrónico","Internet","Protex ","2019-11-09","50","50","",""
"2019-11-09","Nueva","No","Sí","Víctima Directa","Femenino","NS/NC","CABA","Presencia de M y H","NS/NC","No","No","CABA","Países Limítrofes","Presencia de M y H","NS/NC","CABA","No","No","NS/NC","Presencia de M y H","NS/NC","CABA","Explotación Laboral","Línea 145","Boca en Boca","Area Legal para judicializar","2019-11-09","02","02","02","02"
"2019-11-10","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Buenos Aires","Femenino","25","No","No","Buenos Aires","Argentina","NS/NC","NS/NC","Buenos Aires","No","No","2","Femenino","NS/NC","Buenos Aires","Explotación Sexual","Línea 145","Internet","Protex ","2019-11-10","06","06","06","06"
"2019-11-10","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Buenos Aires","NS/NC","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","Buenos Aires","No","No","NS/NC","Femenino","NS/NC","Buenos Aires","Explotación Sexual","Línea 145","ONG-Organismos nacionales","Protex ","2019-11-10","06","","06","06"
"2019-11-10","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Salta","Femenino","NS/NC","No","No","Salta","Argentina","Femenino","NS/NC","Salta","Sí","No","5","Femenino","NS/NC","Salta","Explotación Laboral","Línea 145","NS/NC","Protex ","2019-11-10","66","66","66","66"
"2019-11-10","Relacionada","No","Sí","Víctima Directa","Femenino","43","CABA","Presencia de M y H","NS/NC","No","No","CABA","Países Limítrofes","Presencia de M y H","NS/NC","CABA","No","No","NS/NC","Presencia de M y H","NS/NC","CABA","Explotación Laboral","Línea 145","TV","Area Legal del PNR (ya judicializada)","2019-11-10","02","02","02","02"
"2019-11-10","Nueva","no","No","No es Víctima","Femenino","33","Buenos Aires","Femenino","13","No","No","Buenos Aires","Argentina","NS/NC","NS/NC","NS/NC","No","No","1","Femenino","13","Buenos Aires","Desaparición de personas","Línea 145","NS/NC","Protex ","2019-11-11","06","06","","06"
"2019-11-11","Ampliatoria","no","No","No es Víctima","Femenino","33","Buenos Aires","Femenino","13","No","No","Buenos Aires","Argentina","NS/NC","NS/NC","NS/NC","No","No","1","Femenino","13","Buenos Aires","Desaparición de personas","Línea 145","NS/NC","Protex ","2019-11-11","06","06","","06"
"2019-11-11","Ampliatoria","no","No","No es Víctima","Femenino","33","Buenos Aires","Femenino","13","No","No","Buenos Aires","Argentina","NS/NC","NS/NC","NS/NC","No","No","1","Femenino","13","Buenos Aires","Desaparición de personas","Línea 145","NS/NC","Protex ","2019-11-11","06","06","","06"
"2019-11-11","Nueva","No","No","No es Víctima","Femenino","28","Buenos Aires","Femenino","15","Sí","No","Buenos Aires","Argentina","NS/NC","NS/NC","NS/NC","No","No","1","Femenino","15","Buenos Aires","Desaparición de personas","Línea 145","NS/NC","Protex ","2019-11-11","06","06","","06"
"2019-11-11","Nueva","No","No","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","15","No","No","Buenos Aires","Argentina","NS/NC","NS/NC","NS/NC","No","No","1","Femenino","15","Buenos Aires","Posible captación","Línea 145","Boca en Boca","Protex ","2019-11-11","06","06","","06"
"2019-11-12","Relacionada","No","No","No es Víctima","Femenino","NS/NC","CABA","Femenino","NS/NC","No","No","NS/NC","Países Limítrofes","Femenino","NS/NC","NS/NC","Sí","No","NS/NC","Femenino","NS/NC","CABA","Explotación Sexual","Línea 145","Internet","Area Legal para judicializar","2019-11-12","02","","","02"
"2019-11-12","Nueva","NO","No","No es Víctima","Femenino","NS/NC","Santa fe","Femenino","42","No","No","NS/NC","Argentina","Masculino","NS/NC","SALTA","No","No","1","Femenino","42","SANTA FE","Explotación Sexual","Línea 145","Internet","Gendarmería y Protex","2019-11-12","82","","66","82"
"2019-11-12","Nueva","No","No","No es Víctima","Femenino","70","Córdoba","Femenino","NS/NC","No","No","Córdoba","NS/NC","Masculino","NS/NC","Córdoba","No","No","10","Femenino","NS/NC","Córdoba","Explotación Sexual","Línea 145","Otros modos de acercamiento a la Línea","Protex ","2019-11-12","14","14","14","14"
"2019-11-12","Nueva","no","No","No es Víctima","Femenino","NS/NC","Mendoza","Femenino","12","No","No","Mendoza","NS/NC","Femenino","33","MENDOZA","No","No","2","Femenino","12","Mendoza","Explotación Sexual","Línea 145","Otros modos de acercamiento a la Línea","Gendarmería y Protex","2019-11-12","50","50","50","50"
"2019-11-12","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Neuquén","Femenino","NS/NC","No","No","Neuquén","Países Limítrofes","NS/NC","NS/NC","Neuquén","No","No","NS/NC","Femenino","NS/NC","Neuquén","Explotación Sexual","Línea 145","Otros modos de acercamiento a la Línea","Protex ","2019-11-12","58","58","58","58"
"2019-11-12","Relacionada","No","No","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","26","No","No","NS/NC","Argentina","Masculino","58","CABA","No","No","1","Femenino","25","CABA","Explotación Sexual","Línea 145","ONG-Organismos nacionales","Area Legal del PNR (ya judicializada)","2019-11-12","06","","02","02"
"2019-11-13","nueva","No","Sí","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","12","No","No","Buenos Aires","NS/NC","NS/NC","NS/NC","Buenos Aires","No","No","2","Masculino","12","Buenos Aires","Pornografía Infantil","Línea 145","NS/NC","Protex","2019-11-13","06","06","06","06"
"2019-11-13","Nueva","No","No","No es Víctima","Femenino","NS/NC","Santa Cruz","Masculino","54","No","No","Santa Cruz","NS/NC","Masculino","NS/NC","Santa Cruz","No","No","1","Masculino","54","Santa Cruz","Explotación Laboral","Línea 145","NS/NC","Gendarmería y Protex","2019-11-13","78","78","78","78"
"2019-11-13","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","18","Sí","No","Buenos Aires","NS/NC","Femenino","NS/NC","Buenos Aires","No","No","1","Femenino","18","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-13","06","06","06","06"
"2019-11-13","Ampliatoria","no","No","No es Víctima","Femenino","NS/NC","Mendoza","Femenino","12","No","No","Mendoza","NS/NC","Femenino","33","MENDOZA","No","No","2","Femenino","12","Mendoza","Explotación Sexual","Línea 145","Otros modos de acercamiento a la Línea","Protex ","2019-11-13","50","50","50","50"
"2019-11-13","Nueva","No","Sí","No es Víctima","NS/NC","NS/NC","NS/NC","Femenino","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","1","Femenino","NS/NC","Río Negro","Posible captación","Línea telefónica institucional","NS/NC","Protex ","2019-11-13","","","","62"
"2019-11-13","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Córdoba","Femenino","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","9","Femenino","16","Córdoba","Explotación Sexual","Línea 145","NS/NC","Gendarmería y Protex","2019-11-13","14","","","14"
"2019-11-14","Nueva","No","No","Víctima Directa","Femenino","NS/NC","Jujuy","Femenino","26","No","No","Jujuy","NS/NC","Masculino","70","Jujuy","Sí","No","1","Femenino","26","Jujuy","Desaparición de personas","Línea 145","NS/NC","Gendarmería y Protex","2019-11-14","38","38","38","38"
"2019-11-14","Ampliatoria","No","No","Víctima Directa","Femenino","NS/NC","Jujuy","Femenino","26","No","No","Jujuy","NS/NC","Masculino","70","Jujuy","Sí","No","1","Femenino","26","Jujuy","Desaparición de personas","Línea 145","NS/NC","Protex ","2019-11-14","38","38","38","38"
"2019-11-14","Nueva","No","Sí","Víctima Indirecta","Femenino","NS/NC","CABA","Femenino","NS/NC","No","No","NS/NC","Otros Países","Masculino","NS/NC","NS/NC","Sí","No","15","Femenino","NS/NC","CABA","Explotación Sexual","Línea 145","NS/NC","Area Legal para judicializar","2019-11-14","02","","","02"
"2019-11-14","Nueva","No","Sí","Víctima Indirecta","Masculino","NS/NC","Buenos Aires","Presencia de M y H","5","No","No","NS/NC","Países Limítrofes","Masculino","NS/NC","Buenos Aires","No","No","NS/NC","Presencia de M y H","5","Buenos Aires","Explotación Laboral","Línea 145","Boca en Boca","PSA y Protex","2019-11-14","06","","06","06"
"2019-11-14","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","CABA","Femenino","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","NS/NC","Femenino","NS/NC","CABA","Explotación Sexual","Línea 145","Boca en Boca","Area Legal para judicializar","2019-11-14","02","","","02"
"2019-11-14","Relacionada","No","Sí","No es Víctima","Femenino","NS/NC","CABA","Femenino","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","NS/NC","Femenino","NS/NC","CABA","Explotación Sexual","Línea 145","Boca en Boca","Area Legal para judicializar","2019-11-14","02","","","02"
"2019-11-14","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Córdoba","Femenino","14","No","No","Córdoba","Argentina","Masculino","NS/NC","Santa Fe","No","No","NS/NC","Femenino","14","Santa Fe","Grooming","Línea 145","NS/NC","Protex ","2019-11-14","14","14","82","82"
"2019-11-14","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","NS/NC","NS/NC","NS/NC","No","No","NS/NC","NS/NC","Femenino","NS/NC","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","Publicidad de Oferta Sexual","Línea 145","NS/NC","Protex ","2019-11-14","","","",""
"2019-11-14","Nueva","No","No","Víctima Directa","Masculino","68","San Luis","Femenino","15","No","No","San Luis","Argentina","Masculino","NS/NC","NS/NC","No","No","NS/NC","Femenino","NS/NC","Mendoza","Explotación Sexual","Línea 145","NS/NC","Gendarmería y Protex","2019-11-14","74","74","","50"
"2019-11-14","Nueva","No","Sí","No es Víctima","NS/NC","NS/NC","NS/NC","Femenino","15","No","No","Buenos Aires","Argentina","NS/NC","NS/NC","NS/NC","No","No","NS/NC","Femenino","NS/NC","Buenos Aires","Desaparición de personas","Línea 145","NS/NC","Protex ","2019-11-14","","06","","06"
"2019-11-14","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Buenos Aires","Femenino","10","No","No","Buenos Aires","NS/NC","NS/NC","NS/NC","Buenos Aires","No","No","NS/NC","Femenino","10","Buenos Aires","Explotación Sexual de N, N y A","Línea 145","Internet","Protex ","2019-11-14","06","06","06","06"
"2019-11-14","Relacionada","No","Sí","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","3","No","No","Buenos Aires","NS/NC","Masculino","36","Buenos Aires","No","No","NS/NC","Femenino","3","Buenos Aires","Explotación Sexual de N, N y A","Línea 145","Internet","Protex ","2019-11-14","06","06","06","06"
"2019-11-15","Ampliatoria","No","Sí","No es Víctima","Masculino","NS/NC","CABA","Femenino","NS/NC","No","No","NS/NC","NS/NC","Femenino","NS/NC","NS/NC","No","No","NS/NC","Femenino","NS/NC","CABA","Explotación Sexual","Línea 145","NS/NC","Area Legal del PNR (ya judicializada)","2019-11-15","02","","","02"
"2019-11-15","Ampliatoria","No","Sí","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","3","No","No","Buenos Aires","NS/NC","Masculino","36","Buenos Aires","No","No","NS/NC","Femenino","3","Buenos Aires","Explotación Sexual de N, N y A","Línea 145","Internet","Protex ","2019-11-15","06","06","06","06"
"2019-11-15","Nueva","no","Sí","Víctima Directa","Femenino","NS/NC","Santa Fe","Femenino","12","No","No","Santa Fe","NS/NC","NS/NC","43","Santa Fe","No","No","1","Femenino","1","Santa Fe","Explotación Sexual","Línea 145","NS/NC","Gendarmería y Protex","2019-11-15","82","82","82","82"
"2019-11-15","Ampliatoria","No","Sí","No es Víctima","Masculino","NS/NC","caba","Femenino","NS/NC","no","no","NS/NC","Argentina","Femenino","NS/NC","NS/NC","NO","NO","1","Femenino","NS/NC","CABA","Explotación Sexual","Línea 145","NS/NC","Area Legal del PNR (ya judicializada)","2019-11-15","02","","","02"
"2019-11-15","Relacionada","No","No","No es Víctima","Femenino","NS/NC","Córdoba","Femenino","15","No","No","NS/NC","NS/NC","Femenino","45","NS/NC","Sí","No","5","Femenino","15","Córdoba","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-15","14","","","14"
"2019-11-16","Nueva","No","Sí","Víctima Directa","Femenino","NS/NC","Tucumán","Femenino","19","No","No","NS/NC","NS/NC","Femenino","NS/NC","Tucumán","No","No","5","Femenino","19","Tucumán","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-16","90","","90","90"
"2019-11-18","Nueva","no","Sí","Víctima Indirecta","Femenino","ns/nc","NS/NC","FEMENINO","NS/NC","NO","NO","NS/NC","NS/NC","Femenino","NS/NC","NS/NC","no","no","NS/NC","femenino","NS/NC","SANTA FE","Explotación Sexual","Línea 145","Internet","Protex ","2019-11-18","","","","82"
"2019-11-19","Relacionada","No","No","Víctima Directa","Femenino","45","CABA","Femenino","45","No","No","CABA","Países Limítrofes","Masculino","NS/NC","NS/NC","No","No","1","Femenino","45","CABA","Explotación Laboral","Línea 145","Boca en Boca","Area Legal para judicializar","2019-11-19","02","02","","02"
"2019-11-19","Relacionada","No","Sí","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","30","NO","NO","Buenos Aires","NS/NC","Femenino","NS/NC","Buenos Aires","NO","NO","1","Femenino","18","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-19","06","06","06","06"
"2019-11-19","Ampliatoria","No","Sí","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","30","NO","NO","Buenos Aires","NS/NC","Femenino","NS/NC","Buenos Aires","NO","NO","1","Femenino","18","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-19","06","06","06","06"
"2019-11-19","Nueva","No","No","Víctima Directa","Femenino","30","Mendoza","Femenino","30","No","No","Mendoza","Argentina","Masculino","NS/NC","Mendoza","No","No","NS/NC","Femenino","30","Mendoza","Oferta Laboral Engañosa","Línea 145","Internet","Protex ","2019-11-19","50","50","50","50"
"2019-11-19","Ampliatoria","no","Sí","No es Víctima","Femenino","NS/NC","SANTA FE","Femenino","18","NO","NO","SANTA FE","NS/NC","Femenino","NS/NC","NS/NC","NO","NO","NS/NC","Femenino","18","santa fe","Oferta Laboral Engañosa","Línea 145","NS/NC","Protex ","2019-11-19","82","82","","82"
"2019-11-19","Nueva","No","No","No es Víctima","Femenino","54","Buenos Aires","Femenino","13","No","No","Chaco","Argentina","Femenino","43","Chaco","No","No","1","Femenino","13","Chaco","Explotación Sexual de N, N y A","Línea 145","ONG-Organismos nacionales","Protex ","2019-11-19","06","22","22","22"
"2019-11-19","Ampliatoria","No","No","No es Víctima","Masculino","NS/NC","Buenos Aires","Femenino","10","No","No","Buenos Aires","NS/NC","Masculino","NS/NC","NS/NC","No","No","1","Femenino","10","Buenos Aires","Pornografía Infantil","Línea telefónica institucional","NS/NC","Protex ","2019-11-19","06","06","","06"
